x,y
776.9708405068145,927.1373863748669
591.2781080247883,731.9992953065762
829.6722436762111,451.2570495623692
370.36753904644,780.6153032168023
538.0406877560565,419.0352157350176
103.41990522962463,817.3455959012468
841.1365123017362,84.71405251608533
279.5536698248323,519.6518389825657
288.3805512554427,44.56363777189809
464.90709216031746,451.3451747429218
707.7035456018011,126.93373876013025
236.57925275750668,959.728020040094
931.306997010383,591.5019492538595
773.5604110658796,669.2568355080109
508.33342721187034,575.0258054045432
128.64815220985182,296.1200316014555
868.1454868938803,832.5565647824224
999.6665457459109,11.784014533886555
187.02867648073752,916.4332862378033
77.5760118395854,931.1990689039345
