x,y
263.03558634168365,789.9925998806749
289.70449415532573,771.2958700390149
316.751639921018,790.376404645428
304.9916976566852,800.6109859886654
298.6871740594296,840.5692236992027
310.2387516660918,828.2431595527091
305.1483633723923,799.4291544046163
330.7869707947383,806.3968773017478
306.2406698146402,800.0159159250998
349.3294099715622,787.2224076272837
303.436094727002,805.8161894124977
303.7923646974969,761.2375627829819
287.7989623466765,794.6136883273674
293.3723967654219,812.7590382871805
295.5649407266232,826.1261052705341
315.68672611152147,759.1264381912943
304.29887758058663,803.0402366931943
317.40147391314065,773.6789161670848
302.492563963141,811.9190276986857
281.97497423506553,786.1552691699991
316.0075233314669,770.817971096881
294.13837595110715,781.9867559094503
302.5244233263055,797.1232493034842
306.3518421298597,800.7843388954303
296.6639644839937,812.6456462465725
121.31492727769557,226.7081781000578
135.09713578285215,241.79683729666155
152.32331096643176,255.42585294718697
122.09602053124318,235.68975564348898
156.42493430803,209.8950216569294
108.96349470499048,202.08439838917838
142.4266653111818,242.91422849070673
122.7062366834889,238.67544337397354
109.37769028595397,262.0214941946132
152.71011777300038,271.95285734871277
123.854922410587,276.8469682344318
103.82667039945831,215.25502006282207
87.0011721480239,252.95535742894984
145.47100409851564,194.37771246029496
112.90989054279112,226.72409434499156
113.59965108152531,251.5934054684071
110.69997635093958,283.0224956575622
134.76468503322437,225.04066907569694
124.21740815087885,224.32427677458026
138.03922099506755,269.8999973414396
123.79083565750285,235.51507964091329
99.33338057426575,199.70798981004552
145.05133321543067,259.8310220144782
138.7880949617341,236.41101145519661
95.49450864888703,229.03141191124962
492.3949255656032,304.1828612075319
517.7579959653631,291.4939523463765
502.2025650365936,303.05926618044657
538.9299125743833,308.9399725473435
487.81547929944185,317.4651379403964
510.8354624989196,299.71638179177603
459.54011488509406,324.72572466098813
477.68770117354495,293.32242705804725
492.0965674137313,321.3812745826055
465.1899333472134,311.65438702459005
484.8117038816656,257.9820513699613
504.2675210935641,301.3881485048364
485.02070949672503,348.52271360316354
487.5565917835608,291.70960180837636
513.7187261422102,312.165077333513
514.6864221765071,337.5166252342285
512.7726202803088,325.5254812253973
509.7523706576254,274.80089659083706
477.1277804934574,281.23670167842505
467.15485829997596,307.33851490735725
504.29280006276497,337.44388588492126
534.2572952245073,290.8847836989397
548.2058789289645,302.56252495471944
504.6662950175555,285.23718622327584
486.1509594110251,302.81094611599167
384.71434965175763,165.8463626721227
374.64500316544155,124.77910713859417
351.34540198683493,145.01687490227107
401.8818093659719,142.1831903144822
400.246611964157,160.7272305968082
371.38047881401667,156.81839331477886
323.94361306776966,166.2056900948858
388.68065218651145,133.73065927348247
375.84498632059626,140.96533325188028
418.2119235083536,144.81856655273924
382.3737439824592,122.53207655673796
371.72238868532486,136.25769811730996
385.93124168015976,177.5067399671378
372.8413730158434,193.06079337062425
395.8699516267385,118.55128698201335
367.6085770111661,157.86124446787426
352.29484172839017,176.86658588725018
388.2614285752325,169.47488683650062
371.99782863251914,156.56520053845358
387.2023028977089,136.85687359695422
360.16909360703653,109.55287221049994
374.7446797926039,152.1814529729488
383.88044994109964,149.51787362038192
364.5095742239613,127.93789155058973
371.3483616013025,157.1509627257077
