x,y
166.64014245122635,166.56936141109742
333.2586730901862,166.65563686512328
499.9410148019878,166.86209105058754
666.6977850115749,166.6491398996744
833.1602369761723,166.75914215072424
166.77552924987575,333.5457478934925
333.4570981057513,333.17373978137186
499.7627406731955,333.2311759167552
666.7023803652693,333.4406604917648
833.3499381774785,333.4073126178659
166.75682899274142,500.0102918473316
333.43958782796136,499.81863041049246
500.0236718475657,499.88065738794324
666.5608948722028,500.05767184667303
833.3841482454354,499.9656236023777
166.59060898188852,666.8562300296813
333.43661082584555,666.681145824739
500.0821120381248,666.5446997541264
666.6983465854145,666.9682815105145
833.4272061243795,666.4313173946338
